UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Intelligencer,@intelligencer,2021-03-05T19:27:26.000Z,Nearly 70 percent of Americans in a new Pew study say they plan to get vaccinated against COVID-19 or have already received the vaccine — a steady climb from 60 percent in November https://nym.ag/3epQ7d1,,,,
,@dcfnceIess,2021-03-05T19:27:26.000Z,harry por favor va ao gremmy eu tenho covid peste negra aids piolho infeccao urinaria depressao gripe suina catapora hepatite cronica,,,,
McHeuss,@RolandHeusser,2021-03-05T19:27:26.000Z,"Replying to 
@nohillside
 and 
@Marcel_DoblerDu glaubst doch Deinen eigenen Worten selber nicht. Wartelisten in Psychiatrie ohne Ende, Selbstmorde etc - und ihr heuchelt Covid-Mitleid, sorry unglaubwürdig",,,,
◡̈,@jjk1gojo,2021-03-05T19:27:25.000Z,"Le covid pas leur dos mdrQuote Tweet
Pop Base
@PopBase
 · 2m
2021 Grammys host Trevor Noah confirms the ceremony will be held live from Los Angeles with artists performing on multiple stages and accepting awards.",,1,,
N Wolf,@NancyWolforth,2021-03-05T19:27:25.000Z,"Replying to 
@ProjectLincolnIf 50 Republican senators feel their states don't need covid relief, have them, with their governors, opt out. That will lower the cost of the bill, everybody's happy. Bipartisanship at its best. Mitch and Rand can tell their fellow Kentuckians they don't need any help.",,,,
B.,@bnfxphrl,2021-03-05T19:27:25.000Z,"bem que esse covid podia acabar num dia pro outro, namoral",,,,
